id,type,start_date,name__en,name__zh_hant,name__zh,name__de,name__ja,name__fr,name__ar,name__ga,name__ca,name__eu,name__sv,name__ur
Q15241246,constituency of the Northern Ireland Assembly,,Lagan Valley,,,,,,وادي لاغان,Gleann an Lagáin (Toghcheantar Tionóil),,,,
Q15242679,constituency of the Northern Ireland Assembly,1973,Londonderry,,,,,,,,,,,
Q4792576,constituency of the Northern Ireland Assembly,1973,Armagh,,,,,,,,,,,
Q4882274,constituency of the Northern Ireland Assembly,1973,Belfast East,東區,東區,,,Belfast East (circonscription de l'Assemblée d'Irlande du Nord),شرق بلفاست,Béal Feirste Thoir,,,,
Q4882308,constituency of the Northern Ireland Assembly,1973,Belfast North,北區,北區,Belfast North,,Belfast North (circonscription de l'Assemblée d'Irlande du Nord),,Béal Feirste Thuaidh (Toghcheantar Tionóil),,,,
Q4882329,constituency of the Northern Ireland Assembly,1973,Belfast South,南區,南區,,,Belfast South (circonscription de l'Assemblée d'Irlande du Nord),,Béal Feirste Theas (Toghcheantar Tionóil),Béal Feirste Theas,Belfast Hegoaldea,,
Q4882350,constituency of the Northern Ireland Assembly,1973,Belfast West,西區,西區,,,,,Béal Feirste Thiar (Toghcheantar Tionóil),Belfast West,Belfast Mendebaldea,,
Q5327714,constituency of the Northern Ireland Assembly,,East Antrim,,東安特里姆,,,,,Aontroim Thoir (Toghcheantar Tionóil),,,,
Q5328872,constituency of the Northern Ireland Assembly,,East Londonderry,,東倫敦德里 (議會選區),,,,,Doire Thoir (Toghcheantar Tionóil),,,,
Q5444367,constituency of the Northern Ireland Assembly,1973,Fermanagh and South Tyrone,,弗馬納及南蒂龍 (北愛爾蘭議會選區),,,,فيرماناغ وتيرون الجنوبية,Fear Manach agus Tír Eoghain Theas (Toghcheantar Tionóil),,Fermanagh and South Tyrone,,
Q5477379,constituency of the Northern Ireland Assembly,,Foyle,,福伊爾,,フォイル (議会選挙区),Foyle,فويل,An Feabhal,,Foyle,Foyle,
Q6841031,constituency of the Northern Ireland Assembly,1973,Mid Ulster,,中阿爾斯特,,,,وسط أولستر,Lár Uladh (Toghcheantar Tioníol),Lár Uladh,,Mid Ulster,
Q7019151,constituency of the Northern Ireland Assembly,,Newry and Armagh,,,,,,,Iúr Cinn Trá agus Ard Mhacha,,,,
Q7053953,constituency of the Northern Ireland Assembly,1973,North Antrim,,北安特里姆,,,,شمال أنترم,Aontroim Thuaidh (Toghcheantar Tionóil),,,North Antrim,
Q7055150,constituency of the Northern Ireland Assembly,1973,North Down,,北唐,North Down,,,,An Dún Thuaidh (Toghcheantar Tionóil),An Dún Thuaidh,,,
Q7565994,constituency of the Northern Ireland Assembly,1973,South Antrim,,,,,,,Aontroim Theas (Toghcheantar Tionóil),,,,
Q7567069,constituency of the Northern Ireland Assembly,1973,South Down,,,,,,,An Dún Theas (Toghcheantar Tionóil),,,South Down,
Q7621629,constituency of the Northern Ireland Assembly,,Strangford,,斯特蘭福德 (北愛爾蘭議會選區),,,,,Baile Loch Cuan (Toghcheantar Tionóil),,,,
Q7898475,constituency of the Northern Ireland Assembly,,Upper Bann,,,,,,بان العليا,An Bhanna Uachtarach (Toghcheantar Tionóil),An Bhanna Uachtarach,,Upper Bann,اپر بان
Q7986717,constituency of the Northern Ireland Assembly,,West Tyrone,,,,,,,Tír Eoghain Thiar (Toghcheantar Tionóil),,,West Tyrone,
