id,type,identifier__freebase,identifier__gss,name__de,name__en,name__nl,name__fr,name__gd,name__zh,name__zh_hant,name__zh_cn,name__zh_hans,name__ca,name__ja,name__sv,start_date,end_date,name__eu,name__he,name__ar,replaced_by,name__kw,name__en_gb,name__eo,name__de_ch,name__en_ca,identifier__viaf,replaces,name__bn,name__it,name__ru,name__cy,name__es,name__ga
Q1022403,region or constituency of the Scottish Parliament,/m/089f4_,S16000090,Clydesdale,Clydesdale,Clydesdale,,Dail Chluaidh,克莱兹代尔,,,,,,,1999,,,,,,,,,,,,,,,,,,
Q1026011,region or constituency of the Scottish Parliament,/m/0c3tn_w,S16000086,"Caithness, Sutherland and Ross","Caithness, Sutherland and Ross","Caithness, Sutherland and Ross",,"Gallaibh, Cataibh is Ros",,,,,,ケイスネス、サザランド及びイースター・ロス,,2011,,,,,,,,,,,,,,,,,,
Q1026012,region or constituency of the Scottish Parliament,/m/05xz26,S16000009,"Caithness, Sutherland and Easter Ross (Wahlkreis, Schottland)","Caithness, Sutherland and Easter Ross","Caithness, Sutherland and Easter Ross",,,,,,,,,,1999,2011,,,,,,,,,,,,,,,,,
Q1053782,region or constituency of the Scottish Parliament,/m/09r002,S16000011,"Central Fife (Wahlkreis, Schottland)",Central Fife,Central Fife,,Meadhan Fhìobha,,,,,,,,1999,2011,,,,,,,,,,,,,,,,,
Q1053991,region or constituency of the Scottish Parliament,/m/08qcmb,S17000009,Central Scotland,Central Scotland,Central Scotland,Écosse du centre,Meadhan na h-Alba,,,,,,中央スコットランド,,1999,,,,,,,,,,,,,,,,,,
Q1094628,region or constituency of the Scottish Parliament,/m/0c3y5bh,S16000088,Clackmannanshire and Dunblane,Clackmannanshire and Dunblane,Clackmannanshire and Dunblane,,Siorrachd Chlach Mhanann agus Dùn Blàthain),,,,,,,,,,,,,,,,,,,,,,,,,,
Q1103746,region or constituency of the Scottish Parliament,/m/089f3x,S16000089,"Clydebank and Milngavie (Wahlkreis, Schottland)",Clydebank and Milngavie,Clydebank and Milngavie,,Bruach Chluaidh agus Muileann-Gaidh,克莱德班克和米尔盖,克萊德班克和米爾蓋,,克莱德班克和米尔盖,,,,1999,,,,,,,,,,,,,,,,,,
Q1104440,region or constituency of the Scottish Parliament,/m/089h38,S16000091,"Coatbridge and Chryston (Wahlkreis, Schottland)",Coatbridge and Chryston,Coatbridge and Chryston,,Coatbridge agus Chryston,,,,,,,,1999,,,,,,,,,,,,,,,,,,
Q1138189,region or constituency of the Scottish Parliament,/m/0cmd82g,S16000092,Cowdenbeath (Wahlkreis),Cowdenbeath,,,Cowdenbeath,考登比斯,,,,,,,,,,,,,,,,,,,,,,,,,
Q1143732,region or constituency of the Scottish Parliament,/m/0cv881,S16000093,"Cumbernauld and Kilsyth (Wahlkreis, Schottland)",Cumbernauld and Kilsyth,Cumbernauld and Kilsyth,,Comar nan Allt agus Cill Saidh,,,,,,,,2011,,,,,,,,,,,,,,,,,,
Q1144044,region or constituency of the Scottish Parliament,/m/0cv85_,S16000094,"Cunninghame North (Wahlkreis, Schottland)",Cunninghame North,Cunninghame North,,Coineagan a Tuath,,,,,,,,1999,,,,,,,,,,,,,,,,,,
Q1144052,region or constituency of the Scottish Parliament,/m/0cv870,S16000095,"Cunninghame South (Wahlkreis, Schottland)",Cunninghame South,Cunninghame South,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,
Q124813,region or constituency of the Scottish Parliament,/m/0c3x1t6,S16000137,Perthshire North,Perthshire North,Perthshire North,Perthshire North,Siorrachd Pheairt a Tuath,珀斯郡北（蘇格蘭議會選區）,,,,,,,,,,,,,,,,,,,,,,,,,
Q1248274,region or constituency of the Scottish Parliament,/m/08v0yg,S16000135,Orkney,Orkney,Orkney,,Arcaibh,奧克尼群島,,,,,オークニー選挙区,,1999,,,,,,,Orkney,Orkadoj,,,,,,,,,,
Q1264977,region or constituency of the Scottish Parliament,/m/0cv8f7,S16000019,"Dumfries (Wahlkreis, Schottland)",Dumfries,Dumfries,,,,,,,,,,1999,2011,,,,,,,,,,,,,,,,,
Q1265524,region or constituency of the Scottish Parliament,/m/0gg4ztn,S16000099,Dundee City West,Dundee City West,Dundee City West,,Baile Dhùn Dè an Iar,,,,,,,,2011,,,,,,,,,,,,,,,,,,
Q1265528,region or constituency of the Scottish Parliament,/m/0gtvd7q,S16000098,Dundee City East,Dundee City East,Dundee City East,,Baile Dhùn Dè an Ear,,,,,,,,2011,,,,,,,,,,,,,,,,,,
Q1265537,region or constituency of the Scottish Parliament,/m/0cv8h_,S16000020,"Dundee East (Wahlkreis, Schottland)",Dundee East,Dundee East,,Dùn Dè an Ear,,,,,,,,1999,2011,,,,,,,,,,,,,,,,,
Q1265614,region or constituency of the Scottish Parliament,/m/0cc5qy1,S16000100,Dunfermline (Wahlkreis),Dunfermline,,,Dùn Phàrlain,邓弗姆林,,,,,,,2011,,,,,,,Dunfermline,,Dunfermline,Dunfermline,,,,,,,,
