id,image,name,email,identifier__scotparl
1882,"",Adam Ingram,,1882
5783,"",Adam Tomkins,,5783
3775,"",Aileen Campbell,,3775
2487,"",Aileen McLeod,,2487
2641,http://scottishparliament.thirdlight.com/file/35800892437,Alasdair Allan,Alasdair.Allan.msp@parliament.scot,2641
1888,"",Alasdair Morgan,,1888
1889,"",Alasdair Morrison,,1889
5815,http://scottishparliament.thirdlight.com/file/35781571595,Alex Cole-Hamilton,Alex.Cole-Hamilton.msp@parliament.scot,5815
1892,"",Alex Fergusson,,1892
1893,"",Alex Johnstone,,1893
1894,"",Alex Neil,,1894
5119,http://scottishparliament.thirdlight.com/file/35786781393,Alex Rowley,Alex.Rowley.msp@parliament.scot,5119
1895,"",Alex Salmond,,1895
5665,http://scottishparliament.thirdlight.com/file/35783688483,Alexander Burnett,Alexander.Burnett.msp@parliament.scot,5665
5866,http://scottishparliament.thirdlight.com/file/35781571135,Alexander Stewart,Alexander.Stewart.msp@parliament.scot,5866
5781,"",Alison Harris,,5781
4934,http://scottishparliament.thirdlight.com/file/35818497919,Alison Johnstone,Alison.Johnstone.msp@parliament.scot,4934
4080,"",Alison McInnes,,4080
1901,"",Allan Wilson,,1901
5586,http://scottishparliament.thirdlight.com/file/35783690447,Anas Sarwar,Anas.Sarwar.msp@parliament.scot,5586
2247,"",Andrew Arbuckle,,2247
1906,"",Andrew Welsh,,1906
1907,"",Andrew Wilson,,1907
1908,"",Andy Kerr,,1908
5695,"",Andy Wightman,,5695
1735,http://scottishparliament.thirdlight.com/file/35820129812,Angela Constance,Angela.Constance.msp@parliament.scot,1735
4939,"",Angus MacDonald,,4939
1911,"",Angus MacKay,,1911
16185,http://scottishparliament.thirdlight.com/file/67354912111,Angus Robertson,Angus.Robertson.msp@parliament.scot,16185
1741,"",Annabel Goldie,,1741
1742,http://scottishparliament.thirdlight.com/file/35960261933,Annabelle Ewing,Annabelle.Ewing.msp@parliament.scot,1742
2963,"",Anne McLaughlin,,2963
5047,"",Anne McTaggart,,5047
5788,http://scottishparliament.thirdlight.com/file/35783686421,Annie Wells,Annie.Wells.msp@parliament.scot,5788
16196,http://scottishparliament.thirdlight.com/file/67374112173,Ariane Burgess,Ariane.Burgess.msp@parliament.scot,16196
5605,http://scottishparliament.thirdlight.com/file/48760196846,Ash Denham,Ash.Denham.msp@parliament.scot,5605
16186,http://scottishparliament.thirdlight.com/file/67371828432,Audrey Nicoll,Audrey.Nicoll.msp@parliament.scot,16186
1915,"",Bashir Ahmad,,1915
15631,http://scottishparliament.thirdlight.com/file/56730435752,Beatrice Wishart,Beatrice.Wishart.msp@parliament.scot,15631
5608,http://scottishparliament.thirdlight.com/file/35783686780,Ben Macpherson,Ben.Macpherson.msp@parliament.scot,5608
1916,"",Ben Wallace,,1916
2234,"",Bill Aitken,,2234
6090,"",Bill Bowman,,6090
2364,"",Bill Butler,,2364
3129,http://scottishparliament.thirdlight.com/file/35799134774,Bill Kidd,Bill.Kidd.msp@parliament.scot,3129
5078,"",Bill Walker,,5078
1921,"",Bill Wilson,,1921
3771,http://scottishparliament.thirdlight.com/file/35820939764,Bob Doris,Bob.Doris.msp@parliament.scot,3771
1926,"",Brian Adam,,1926
1928,"",Brian Fitzpatrick,,1928
1930,"",Brian Monteith,,1930
5793,http://scottishparliament.thirdlight.com/file/35783688325,Brian Whittle,Brian.Whittle.msp@parliament.scot,5793
