id,name,name__en,name__gd,name__ja,name__nl,name__bn,name__es,name__ast,name__sco,name__sl,wikipedia__en,wikipedia__gd,wikipedia__sco,occupation,gender,given_name,image,twitter,family_name,identifier__democracyclub,original_wikiname,name__de,name__fr,name__nb,name__da,name__nn,name__sv,name__hu,name__ru,name__ca,wikipedia__commons,wikipedia__de,birth_date,name__it,identifier__hansard,identifier__freebase,identifier__rush,name__ar,wikipedia__ar,name__tr,name__zh,wikipedia__tr,name__az,wikipedia__az,wikipedia__ca,name__ga,wikipedia__ga,identifier__snac,name__cy,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__es,identifier__VIAF,identifier__LCAuth,death_date,identifier__FAST,identifier__ISNI,identifier__Oxforddnb,identifier__national_archives,name__fa,name__nds,name__en_ca,name__en_gb,wikipedia__fr,website,wikipedia__hu,name__af,name__an,name__bar,name__br,name__co,name__cs,name__de_at,name__de_ch,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pcd,name__pl,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__parliamentDOTuk,identifier__ukparliamentid,name__he,name__la,name__mk,name__el,name__uk,name__yue,name__fy,name__ko,name__ka,name__zh_hk,name__zh_mo,name__zh_my,name__zh_sg,name__zh_tw,name__eml,name__or,name__hy,name__te,wikipedia__af,wikipedia__bar,wikipedia__br,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__eml,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fy,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__ie,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__nlwikinews,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__te,wikipedia__uk,wikipedia__zh_yue,wikipedia__zh,identifier__GND,identifier__guardian_topic,identifier__ne_se,identifier__BBC_things,identifier__quora,identifier__Britannica,identifier__GTAA,name__bm,name__frc,name__jam,name__kab,name__lt,name__lv,name__pap,name__prg,name__rgn,name__vmf,name__azb,wikipedia__azb,facebook,wikipedia__mg,identifier__publicwhip,identifier__TWFY,identifier__NPG,name__fo,name__kl,name__kn,identifier__EuroparlMEP,identifier__wikitree,identifier__google_knowledge,identifier__bbc_democracy_live,honorific_prefix,identifier__NTA,noble_title,name__sh,name__bg,name__be,name__be_tarask,name__ext,wikipedia__an,wikipedia__be_x_old,wikipedia__be,wikipedia__bewikiquote,wikipedia__bg,wikipedia__cawikiquote,wikipedia__eowikinews,wikipedia__sh,wikipedia__vi,identifier__PACE,name__sr_ec,name__sr,wikipedia__sr,wikipedia__hy,name__ty,identifier__NNDB,identifier__BIBSYS,identifier__NUKAT,name__qu,wikipedia__ast,wikipedia__io,wikipedia__qu,wikipedia__ms,identifier__current_hansard,identifier__journalisted,name__sq,name__ta,wikipedia__ta,name__ang,name__nys,wikipedia__bat_smg,wikipedia__itwikiquote,name__sgs,wikipedia__ia,name__arz,wikipedia__arz,wikipedia__kw,name__kw,identifier__NLP,wikipedia__th,name__th,instagram,identifier__youtube,name__no,wikipedia__wuu,name__wuu,wikipedia__fo
Q1051152,Cathy Peattie,Cathy Peattie,,,Cathy Peattie,,Cathy Peattie,Cathy Peattie,,Cathy Peattie,Cathy Peattie,,,politician,female,Cathy,https://upload.wikimedia.org/wikipedia/commons/b/b8/Protestcarers4.JPG,,,,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,,Cathy Peattie,Cathy Peattie,,Cathy Peattie,,Cathy Peattie,1951-11-24,Cathy Peattie,,/m/0bkkyy,,,,,,,,,,,,,,,,,,,,,,,,F79713,,,,,,,,,,,,,Cathy Peattie,,,,,,Cathy Peattie,,,,,,,,,,,,,,,,,,,,,,,Cathy Peattie,,Cathy Peattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10652,Alex Salmond,Alex Salmond,Ailig Salmond,アレックス・サモンド,Alex Salmond,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Ailig Salmond,Alex Salmond,economist,male,Alex,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Alex_Salmond,_First_Minister_of_Scotland_(cropped).jpg",AlexSalmond,Salmond,4911,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Алекс Салмонд,Alex Salmond,Category:Alex Salmond,Alex Salmond,1954-12-31,Alex Salmond,mr-alex-salmond,/m/01k0jf,596,أليكس ساموند,أليكس ساموند,Alex Salmond,亚历克斯·萨尔蒙德,Alex Salmond,Aleks Salmond,Aleks Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,,,,Alex Salmond,217086908,,,,0000 0004 3245 2060,,,الکس ساموند,,,Alex Salmond,Alex Salmond,http://www.alexsalmond.scot/,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,,,Alex Salmond,,,,Alex Salmond,Alex Salmond,,Alex Salmond,,,,,Alex Salmond,,,,,,Alex Salmond,,Alex Salmond,,Alex Salmond,,,,,,,,,,Alex Salmond,,,,,,commons/alex-salmond/577,QlMua7Je,אלכס סלמונד,Alexander Salmond,Алекс Салмонд,Άλεξ Σάλμοντ,Алекс Салмонд,,Alex Salmond,앨릭스 새먼드,,薩蒙德,,,,,,,Ալեքս Սալմոնդ,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Άλεξ Σάλμοντ,,Category:Alex Salmond,Alex Salmond,,,Alex Salmond,الکس سموند,Alex Salmond,Alex Salmond,Alex Salmond,אלכס סלמונד,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,アレックス・サモンド,,앨릭스 새먼드,Alexander Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,"Салмонд, Алекс",,Alex Salmond,Alex Salmond,,Алекс Салмонд,,亚历克斯·萨尔蒙德,1011950936,,,,Alex-Salmond,biography/Alex-Salmond,239002,,,,,,,,,,,,,AlexSalmond,Alex Salmond,,10525,,,,,,Salmond-56,,,,380672545,,Alex Salmond,Алекс Салмънд,Алекс Салманд,Алекс Сэлманд,Alex Salmond,Alex Salmond,Алекс Сэлманд,Алекс Салманд,Алекс Салманд,Алекс Салмънд,Alex Salmond,Kategorio:Alex SALMOND,Alex Salmond,Alex Salmond,7457,,,,Ալեքս Սալմոնդ,,,,,,,,,,,,Alex Salmond,,,,,,,,,اليكس ساموند,اليكس ساموند,,,,,,,,,,,
Q1083222,Christina McKelvie,Christina McKelvie,Christina McKelvie,,Christina McKelvie,,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,politician,female,Christina,https://upload.wikimedia.org/wikipedia/commons/e/e3/ChristinaMcKelvieMSP20110510.JPG,ChristinaSNP,McKelvie,7512,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,,Christina McKelvie,Christina McKelvie,,Christina McKelvie,,Christina McKelvie,1968-03-04,Christina McKelvie,,/m/02r4x0q,,,,,克莉絲緹娜·麥克爾維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christina McKelvie,,,,,,Christina McKelvie,,,,,,,,,,,,,,,,,,,,,,,Christina McKelvie,,Christina McKelvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1097337,Claudia Beamish,Claudia Beamish,Claudia Beamish,,Claudia Beamish,,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,,politician,female,Claudia,https://upload.wikimedia.org/wikipedia/commons/5/53/ClaudiaBeamishMSPPortrait.jpg,claudiabeamish,,,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,,Claudia Beamish,Claudia Beamish,,Claudia Beamish,Category:Claudia Beamish,Claudia Beamish,1952-08-09,Claudia Beamish,,/m/0gtvgfz,,كلوديا بيمش,كلوديا بيمش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Beamish,,,,,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,,,Claudia Beamish,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Honourable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,
Q1108343,Colin Beattie,Colin Beattie,Colin Beattie,,Colin Beattie,,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,politician,male,Colin,https://upload.wikimedia.org/wikipedia/commons/2/2f/Colin_Beattie.JPG,uartlach,Beattie,3560,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,,Colin Beattie,Colin Beattie,,Colin Beattie,Category:Colin Beattie,Colin Beattie,1951-10-17,Colin Beattie,,/m/0gmfxm8,,كولن بيتي,كولن بيتي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Beattie,,,,,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,,,Colin Beattie,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,
Q1108388,Colin Campbell,Colin Campbell,,,Colin Campbell,কলিন ক্যাম্পবেল,Colin Campbell,Colin Campbell,,Colin Campbell,Colin Campbell (Scottish politician),,,politician,male,Colin,,,Campbell,,Colin Campbell (Scottish politician),Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,Колин Кэмпбелл,Colin Campbell,,"Colin Campbell (Politiker, 1938)",1938-08-31,Colin Campbell,,/m/0blg6f,,كولن كامبل,كولن كامبل (سياسي),,,,,,,,,,,,,,,78302786,nb2006018691,,,0000 0000 3964 1439,,,کالین کمپل,,,,,,,,,,,,Colin Campbell,,,,,,Colin Campbell,,,,,,,,,,,,,,,,,,,,,,,Colin Campbell,,Colin Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049809297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1168523,Dorothy-Grace Elder,Dorothy-Grace Elder,,,Dorothy-Grace Elder,,Dorothy-Grace Elder,Dorothy-Grace Elder,,Dorothy-Grace Elder,Dorothy-Grace Elder,,,politician,female,,,,Elder,,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,,Dorothy-Grace Elder,Dorothy-Grace Elder,,Dorothy-Grace Elder,,Dorothy-Grace Elder,1942-08-11,Dorothy-Grace Elder,,/m/02cds5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy-Grace Elder,,,,,,Dorothy-Grace Elder,,,,,,,,,,,,,,,,,,,,,,,Dorothy-Grace Elder,,Dorothy-Grace Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1174169,David Davidson,David Davidson,,,David Davidson,,David Davidson,David Davidson,,David Davidson,David Davidson (Scottish politician),,,politician,male,David,,,Davidson,,David Davidson (Scottish politician),David Davidson,David Davidson,David Davidson,David Davidson,,David Davidson,David Davidson,,David Davidson,,David Davidson (Politiker),1943-01-25,David Davidson,,/m/0b11c3,,,,,,,,,,,,,,,,,,,,,,0000 0001 1438 7080,,,,,,,,,,,,,,,David Davidson,,,,,,David Davidson,,,,,,,,,,,,,,,,,,,,,,,David Davidson,,David Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1175613,David McLetchie,David McLetchie,,デビッド・マクレチー,David McLetchie,,David McLetchie,David McLetchie,,David McLetchie,David McLetchie,,,politician,male,David,https://upload.wikimedia.org/wikipedia/commons/a/a3/DavidMcLetchieMSP20110509.JPG,,McLetchie,,David McLetchie,David McLetchie,David McLetchie,David McLetchie,David McLetchie,,David McLetchie,David McLetchie,,David McLetchie,,David McLetchie,1952-08-06,David McLetchie,,/m/02lb29,,,,,戴維·麥克萊特,,,,,,,,David McLetchie,大衛·麥克萊切,大卫·麦克莱切,大卫·麦克莱切,David McLetchie,73599788,no2006008811,2013-08-12,1898613,0000 0000 4488 7337,108468,F72643,,,,,,,,,,,,,David McLetchie,,,,,,David McLetchie,,,,,,,,,,,,,,,,,,,,,,,David McLetchie,,David McLetchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1176741,David Stewart,David Stewart,David Stewart,,David Stewart,,David Stewart,David Stewart,,David Stewart,David Stewart (Scottish politician),David Stewart,,politician,male,David,https://upload.wikimedia.org/wikipedia/commons/6/65/DaveStewartMSPPortrait.jpg,Davidstewartmsp,Stewart,8416,David Stewart (Scottish politician),David Stewart,David Stewart,David Stewart,David Stewart,,David Stewart,David Stewart,Дэвид Стюарт,David Stewart,Category:David Stewart (Scottish politician),"David Stewart (Politiker, 1956)",1956-05-05,David Stewart,mr-david-stewart,/m/029y_c,638,ديفيد ستيوارت,ديفيد ستيوارت (سياسي),,,,,,,,,,,,,,,51177321,nb90482479,,,,,,دیوید استوارت,,,,,http://www.davidstewart.org.uk,,,,,,,David Stewart,,,,,,David Stewart,,,,,,,,,,,,,,,,,,,,,,,David Stewart,,David Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
