name,id
Adam Price,e5da3a6e-7fe7-4325-b936-325a44babca8
Adam Price MS,e5da3a6e-7fe7-4325-b936-325a44babca8
Alanus Michael,91dbd70b-defd-4e2b-8ff3-f86a470c9c73
Aled Roberts,b55563e0-21f5-4eed-9547-8795a4a59e92
Alison Halford,6d214635-2a00-4ec1-b0ab-ac0a6596b70c
Altaf Hussain,82c4f35c-ba2d-4f51-ba25-dce76a94b9a7
Altaf Hussain MS,82c4f35c-ba2d-4f51-ba25-dce76a94b9a7
Alun Cairns,92ad6d2f-14cb-4ae8-88e8-a749604f0aa6
Alun Davies,6b1fa908-a30b-4e5a-ae0a-4934ac55df54
Alun Davies MS,6b1fa908-a30b-4e5a-ae0a-4934ac55df54
Alun Edward Michael,91dbd70b-defd-4e2b-8ff3-f86a470c9c73
Alun Ffred Jones,c5fb67d9-dde7-40ae-8edc-3a107360adca
Alun Jones,c5fb67d9-dde7-40ae-8edc-3a107360adca
Alun Michael,91dbd70b-defd-4e2b-8ff3-f86a470c9c73
Alun Pugh,384f69d2-8aa4-482c-b1a4-654180147e61
Andrew Davies,aca58088-331d-4a2b-a67e-cb039da371d4
Andrew R. T. Davies,4e31d446-8dd5-405a-a37f-bab74e27b406
Andrew RT Davies,4e31d446-8dd5-405a-a37f-bab74e27b406
Andrew RT Davies MS,aca58088-331d-4a2b-a67e-cb039da371d4
Angela Burns,9567b3cb-2a07-4857-bdb6-3a98cfacf8c6
Ann Jones,0466dffe-1daa-404e-b17e-af90f8963ef8
Ann Jonesová,0466dffe-1daa-404e-b17e-af90f8963ef8
Antoinette Sandbach,f85127cc-8e79-458c-a144-162203107a8a
Bethan Jenkins,0fade98b-624a-4129-9c8b-f9e97f82b6d7
Bethan Sayed,0fade98b-624a-4129-9c8b-f9e97f82b6d7
Brian Gibbons,a7ff1985-8c81-49de-9913-8a05f0472293
Brian Hancock,c2c80085-d7a9-4f9c-91e7-7066a0033ae9
Brynle Williams,1dada316-674b-41de-aa7e-ae320a0f85b1
Buffy Williams,d881ddba-9098-4235-a423-31cb3281d566
Buffy Williams MS,d881ddba-9098-4235-a423-31cb3281d566
Buffy Williamsová,d881ddba-9098-4235-a423-31cb3281d566
Byron Davies,b475e63b-2dc7-4faf-902d-fa73bd1ae693
Carl Sargeant,68d2723c-5d88-4c0a-9cfb-baffc7db528d
Caroline Jones,3d912847-69b6-4f42-821c-0ef2edc78aed
Carolyn Thomas,7a94dc97-e827-43d4-9328-d73bb69212bc
Carolyn Thomas MS,7a94dc97-e827-43d4-9328-d73bb69212bc
Carwyn Jones,97bdfa57-6798-4098-a8f4-77e823837313
Catherine Thomas,7902f9fe-79da-469a-9a82-b7145a9d5b2d
Cefin Campbell,255e79a0-fc74-488c-b21c-80bb72736ba8
Cefin Campbell MS,255e79a0-fc74-488c-b21c-80bb72736ba8
Chris Franks,17a29d6d-5a6b-4cfe-9058-ad03f66b319e
Christine Chapman,110f41fd-6ecd-4d37-8894-7d7451f823c7
Christine Gwyther,a75d1ae0-7c37-4e85-9886-691000439fdc
Christine Humphreys,f8ef4352-2750-4d91-a90f-26017ab49203
"Christine Humphreys, Baroness Humphreys",f8ef4352-2750-4d91-a90f-26017ab49203
Cynog Dafis,ca7a21d2-c784-4e70-985f-fde4f4d39555
Dafydd Elis-Thomas,1ee666d1-225f-4561-92da-cfcb94b91a6d
"Dafydd Elis-Thomas, Baron Elis-Thomas",1ee666d1-225f-4561-92da-cfcb94b91a6d
Dafydd Wigley,38dc8073-fcae-4194-ae77-4deb6fe228b1
"Dafydd Wigley, Baron Wigley",38dc8073-fcae-4194-ae77-4deb6fe228b1
Dai Lloyd,fd4c0700-b9fe-4b1e-91a7-46b67fe3b9df
Dame Rosemary Butler,be9c1984-6f08-4a97-8ea6-e82af4daf909
Darren Millar,42e772e8-3d01-4dea-b0bc-5fc5ba641079
Darren Millar MS,42e772e8-3d01-4dea-b0bc-5fc5ba641079
David Davies,cd63917b-cab8-436f-b851-eae0a90fdd86
David J Rowlands,552d802e-50c1-4bb1-8367-c4064d0210a4
David Jones,225e3eb0-2fbc-412c-84e9-8fd43ff3bf15
David Lloyd,fd4c0700-b9fe-4b1e-91a7-46b67fe3b9df
David Melding,fa4e847b-3132-4e59-adce-f470b7db238c
David Rees,15761ce7-71b3-4691-a080-d2727bd2966e
David Rees MS,15761ce7-71b3-4691-a080-d2727bd2966e
David Rowlands,552d802e-50c1-4bb1-8367-c4064d0210a4
David T. C. Davies,cd63917b-cab8-436f-b851-eae0a90fdd86
Dawn Bowden,d3aa08cd-c7c8-4b36-87c9-07765620ac93
Dawn Bowden MS,d3aa08cd-c7c8-4b36-87c9-07765620ac93
Delyth Evans,08305023-4afd-47b2-8fd8-b5a03c2a222e
Delyth Jewell,99995d63-b32c-48e6-9863-cdc42879e399
Delyth Jewell MS,99995d63-b32c-48e6-9863-cdc42879e399
Denise Idris Jones,da6ef261-921b-477d-9e7c-84a0b06a4b69
Denise Jones,da6ef261-921b-477d-9e7c-84a0b06a4b69
Edwina Hart,52c8ed62-459c-4da6-874f-b527b3624e76
Eleanor Burnham,ea732b4d-dc36-4f8e-98e4-a6e8660d5ea2
Elin Jones,22f2adad-3eca-4e5d-a946-7bea3174ef29
Elizabeth (Buffy) Williams,d881ddba-9098-4235-a423-31cb3281d566
Elizabeth Buffy Williams,d881ddba-9098-4235-a423-31cb3281d566
Eluned Morgan,704a4db1-134c-4aa1-aab4-6b54338b5d66
Eluned Morgan MS,704a4db1-134c-4aa1-aab4-6b54338b5d66
"Eluned Morgan, Baroness Morgan of Ely",704a4db1-134c-4aa1-aab4-6b54338b5d66
Eluned Parrott,f6720095-134b-4d29-b8d4-8495e08dddc2
Gareth Bennett,127306dd-d8a1-4c39-97b6-c5bf5c7dd28e
Gareth Davies,9f0754e3-c424-4460-a9a4-83c0f7b9e0d6
Gareth Davies MS,9f0754e3-c424-4460-a9a4-83c0f7b9e0d6
Gareth Jones,3e56dafe-012b-44cc-a187-bba29b13424f
Geraint Davies,b0f3674e-dae3-4fe7-8c04-5c7b9da35200
Glyn Davies,c2635c53-6d9a-49c3-ab99-72f0d08cd991
Gwenda Thomas,d0439238-3e70-4428-a352-e3b17ce929fa
Gwyn R Price,0e8594ca-2cc5-4c5a-bb9c-7b282f9ec05a
Hannah Blythyn,08254a5f-fd4a-4aa9-b404-5df06c854c71
Hannah Blythyn MS,08254a5f-fd4a-4aa9-b404-5df06c854c71
