id,start_date,type,identifier__freebase,identifier__gss,name__en,name__en_ca,name__en_gb,name__cy,name__fr,name__de,identifier__bbc_things,name__zh_hant,name__zh_cn,name__ca,name__zh,end_date,name__eu,identifier__lcauth,name__ja,name__ga,name__sco,name__br,name__ar,name__es,name__it,name__nl,name__gd,name__sv
Q13128697,1999,Constituency of the Welsh Assembly,/m/026gzl7,W09000004,Clwyd West,,,Gorllewin Clwyd,Clwyd West,,,,,,,,,,,,,,,,,,,
Q4243314,1999,Constituency of the Welsh Assembly,/m/026mz48,W09000011,Montgomeryshire,Montgomeryshire,Montgomeryshire,Maldwyn,Montgomeryshire,,,,,,,,,,,,,,,,,,,
Q4666775,1999,Constituency of the Welsh Assembly,/m/026wm2q,W09000022,Aberavon,,,Aberafan,Aberavon,Aberavon,,,,,,,,,,,,,,,,,,
Q4666807,2007,Constituency of the Welsh Assembly,/m/02707j2,W09000003,Aberconwy,,,Aberconwy,Aberconwy,,,,,,,,,,,,,,,,,,,
Q4738671,1999,Constituency of the Welsh Assembly,/m/026dlkc,W09000007,Alyn and Deeside,,,Alun a Glannau Dyfrdwy,Alyn and Deeside,,,,,,,,,,,,,,,,,,,
Q4789158,2007,Constituency of the Welsh Assembly,/m/0271ns9,W09000002,Arfon,,,Arfon,Arfon,,ae72add9-102e-4ab9-8e6d-48ccc39508c3,,,,,,,,,,,,,,,,,
Q4923797,1999,Constituency of the Welsh Assembly,/m/026twrc,W09000038,Blaenau Gwent,,,Blaenau Gwent,Blaenau Gwent,,,,,,,,,,,,,,,,,,,
Q4960088,1999,Constituency of the Welsh Assembly,/m/026myzf,W09000041,Brecon and Radnorshire,,,Brycheiniog a Sir Faesyfed,Brecon and Radnorshire,,,佈雷肯及拉德諾郡 (國民議會選區),布雷肯及拉德諾郡 (國民議會選區),Brycheiniog i Sir Faesyfed,,,,,,,,,,,,,,
Q4966526,1999,Constituency of the Welsh Assembly,/m/026wm1b,W09000023,Bridgend,,,Pen-y-bont ar Ogwr,Bridgend,,,,,,南威爾斯西 (威爾斯議會選區),,,,,,,,,,,,,
Q5016911,1999,Constituency of the Welsh Assembly,/m/026gzg3,,Caernarfon,,,Caernarfon,Caernarfon (ancienne circonscription galloise),,,,,,,2007,,,,,,,,,,,,
