id,name,party,email,image
143,Andrew RT Davies MS,Welsh Conservative Party,AndrewRT.Davies@senedd.wales,https://business.senedd.wales/UserData/3/4/1/Info00000143/bigpic.jpg
145,Paul Davies MS,Welsh Conservative Party,Paul.Davies@senedd.wales,https://business.senedd.wales/UserData/5/4/1/Info00000145/bigpic.jpg
153,John Griffiths MS,Welsh Labour,John.Griffiths@senedd.wales,https://business.senedd.wales/UserData/3/5/1/Info00000153/bigpic.jpg
154,Lesley Griffiths MS,Welsh Labour,Lesley.Griffiths@senedd.wales,https://business.senedd.wales/UserData/4/5/1/Info00000154/bigpic.jpg
156,Jane Hutt MS,Welsh Labour,Jane.Hutt@senedd.wales,https://business.senedd.wales/UserData/6/5/1/Info00000156/bigpic.jpg
157,Mark Isherwood MS,Welsh Conservative Party,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg
162,Rt. Hon. Elin Jones MS,Plaid Cymru,Elin.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/1/Info00000162/bigpic.jpg
171,Darren Millar MS,Welsh Conservative Party,Darren.Millar@senedd.wales,https://business.senedd.wales/UserData/1/7/1/Info00000171/bigpic.jpg
174,Lynne Neagle MS,Welsh Labour,Lynne.Neagle@senedd.wales,https://business.senedd.wales/UserData/4/7/1/Info00000174/bigpic.jpg
182,Joyce Watson MS,Welsh Labour,Joyce.Watson@senedd.wales,https://business.senedd.wales/UserData/2/8/1/Info00000182/bigpic.jpg
205,David Rees MS,Welsh Labour,David.Rees@senedd.wales,https://business.senedd.wales/UserData/5/0/2/Info00000205/bigpic.jpg
212,Janet Finch-Saunders MS,Welsh Conservative Party,Janet.Finch-Saunders@senedd.wales,https://business.senedd.wales/UserData/2/1/2/Info00000212/bigpic.jpg
225,Alun Davies MS,Welsh Labour,Alun.Davies@senedd.wales,https://business.senedd.wales/UserData/5/2/2/Info00000225/bigpic.jpg
241,Jenny Rathbone MS,Welsh Labour,Jenny.Rathbone@senedd.wales,https://business.senedd.wales/UserData/1/4/2/Info00000241/bigpic.jpg
245,Julie Morgan MS,Welsh Labour,Julie.Morgan@senedd.wales,https://business.senedd.wales/UserData/5/4/2/Info00000245/bigpic.jpg
249,Vaughan Gething MS,Welsh Labour and Co-operative Party,Vaughan.Gething@senedd.wales,https://business.senedd.wales/UserData/9/4/2/Info00000249/bigpic.jpg
253,Mark Drakeford MS,Welsh Labour,Mark.Drakeford@senedd.wales,https://business.senedd.wales/UserData/3/5/2/Info00000253/bigpic.jpg
267,Ken Skates MS,Welsh Labour,Ken.Skates@senedd.wales,https://business.senedd.wales/UserData/7/6/2/Info00000267/bigpic.jpg
269,Mabon ap Gwynfor MS,Plaid Cymru,Mabon.ap.Gwynfor@senedd.wales,https://business.senedd.wales/UserData/9/6/2/Info00000269/bigpic.jpg
2717,Rhun ap Iorwerth MS,Plaid Cymru,rhun.apiorwerth@senedd.wales,https://business.senedd.wales/UserData/7/1/7/Info00002717/bigpic.jpg
303,Russell George MS,Welsh Conservative Party,Russell.George@senedd.wales,https://business.senedd.wales/UserData/3/0/3/Info00000303/bigpic.jpg
321,Mick Antoniw MS,Welsh Labour,Mick.Antoniw@senedd.wales,https://business.senedd.wales/UserData/1/2/3/Info00000321/bigpic.jpg
332,Mike Hedges MS,Welsh Labour and Co-operative Party,Mike.Hedges@senedd.wales,https://business.senedd.wales/UserData/2/3/3/Info00000332/bigpic.jpg
336,Natasha Asghar MS,Welsh Conservative Party,Natasha.Asghar@senedd.wales,https://business.senedd.wales/UserData/6/3/3/Info00000336/bigpic.jpg
375,Rebecca Evans MS,Welsh Labour,Rebecca.Evans@senedd.wales,https://business.senedd.wales/UserData/5/7/3/Info00000375/bigpic.jpg
425,Llyr Gruffydd MS,Plaid Cymru,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg
426,Heledd Fychan MS,Plaid Cymru,Heledd.Fychan@senedd.wales,https://business.senedd.wales/UserData/6/2/4/Info00000426/bigpic.jpg
4562,Laura Anne Jones MS,Welsh Conservative Party,Laura.Jones@senedd.wales,https://business.senedd.wales/UserData/2/6/5/Info00004562/bigpic.jpg
4651,Rhianon Passmore MS,Welsh Labour and Co-operative Party,Rhianon.Passmore@senedd.wales,https://business.senedd.wales/UserData/1/5/6/Info00004651/bigpic.jpg
4787,Peter Fox MS,Welsh Conservative Party,Peter.Fox@senedd.wales,https://business.senedd.wales/UserData/7/8/7/Info00004787/bigpic.jpg
4970,Eluned Morgan MS,Welsh Labour,Eluned.Morgan@senedd.wales,https://business.senedd.wales/UserData/0/7/9/Info00004970/bigpic.jpg
4978,Lee Waters MS,Welsh Labour,Lee.Waters@senedd.wales,https://business.senedd.wales/UserData/8/7/9/Info00004978/bigpic.jpg
4981,Siân Gwenllian MS,Plaid Cymru,Sian.Gwenllian@senedd.wales,https://business.senedd.wales/UserData/1/8/9/Info00004981/bigpic.jpg
4983,Jane Dodds MS,Welsh Liberal Democrats,Jane.Dodds@senedd.wales,https://business.senedd.wales/UserData/3/8/9/Info00004983/bigpic.jpg
4988,Dawn Bowden MS,Welsh Labour,Dawn.Bowden@senedd.wales,https://business.senedd.wales/UserData/8/8/9/Info00004988/bigpic.jpg
