id,name,name__cy,name__en,name__nl,name__de,name__fr,name__sl,name__ast,name__ca,name__es,name__it,name__da,name__fi,name__sv,name__hu,name__pt,name__pl,name__cs,name__nb,name__pt_br,wikipedia__commons,wikipedia__cy,wikipedia__en,birth_date,gender,given_name,occupation,family_name,identifier__welsh_assembly,identifier__freebase,image,identifier__democracyclub,twitter,original_wikiname,name__ar,name__ru,name__sq,wikipedia__ar,website,identifier__VIAF,identifier__google_knowledge,name__eu,name__ja,name__br,name__arz,wikipedia__arz,wikipedia__br,wikipedia__ca,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fr,wikipedia__it,identifier__LCAuth,identifier__hansard,identifier__FAST,identifier__national_archives,identifier__rush,identifier__ISNI,identifier__ukparliamentid,identifier__goodreads,identifier__ne_se,identifier__TWFY,name__sco,name__zh,name__vi,name__gd,name__id,name__ga,name__gl,name__pcd,name__eo,name__oc,name__la,name__kw,name__bn,name__be_tarask,name__ko,wikipedia__enwikiquote,wikipedia__fi,wikipedia__ga,wikipedia__gl,wikipedia__kw,wikipedia__la,wikipedia__ruwikinews,wikipedia__sco,wikipedia__simple,wikipedia__vi,facebook,name__zh_hant,name__zh_cn,name__zh_hans,wikipedia__ru,name__tr,name__scn,name__ie,name__el,name__uk,name__sk,name__fo,name__kl,name__en_gb,name__nn,name__zh_hk,name__lt,wikipedia__cs,wikipedia__el,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__lt,wikipedia__pl,wikipedia__scn,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__Britannica,identifier__NTA,identifier__BBC_things,name__fa,wikipedia__fa,email,name__dag,wikipedia__pt,death_date,name__en_ca,name__af,name__an,name__bar,name__co,name__de_at,name__de_ch,name__et,name__frp,name__fur,name__gsw,name__hr,name__ia,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pms,name__rm,name__ro,name__sc,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,wikipedia__sv,identifier__journalisted,identifier__current_hansard,identifier__publicwhip,identifier__bbc_democracy_live,identifier__ORCID,identifier__GND,name__ext,wikipedia__mg,wikipedia__oc,identifier__NPG,identifier__NNDB,name__he,wikipedia__cywikiquote,identifier__snac,identifier__Oxforddnb,name__lv,name__bs,name__sr,wikipedia__id,wikipedia__sl,identifier__BIBSYS,identifier__NUKAT,weblog,identifier__PACE,identifier__CSPAN,instagram,honorific_prefix,name__ig,wikipedia__igwikiquote,identifier__quora,wikipedia__ro,identifier__EuroparlMEP,name__vmf,name__az,name__te,wikipedia__az,wikipedia__nds,wikipedia__ms,wikipedia__nl,identifier__wikitree,name__zh_sg,name__zh_tw,name__wuu,name__yue,wikipedia__da,wikipedia__ja,wikipedia__wuu,wikipedia__zh_yue,identifier__WelshBiography,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,identifier__snapchat
Q106754536,Gareth Davies,Gareth Davies,Gareth Davies,Gareth Davies,,,Gareth Davies,Gareth Davies,,,,,,,,,,,,,,Gareth Davies (gwleidydd),Gareth Davies (Welsh politician),,male,Gareth,politician,Davies,8571,,https://upload.wikimedia.org/wikipedia/commons/2/2e/GarethDaviesMS-Castle.jpg,28667,GarethDaviesVoC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GarethDaviesMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106758061,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,Samuel Kurtz,,Samuel Kurtz,,,,,,Samuel Kurtz,,,,Samuel Kurtz,,Samuel Kurtz,Samuel Kurtz,,male,Sam,politician,Kurtz,8642,,https://upload.wikimedia.org/wikipedia/commons/0/09/Samuel-kurtz.jpg,24712,SKurtzCWSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKurtzCWSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106759834,Sarah Murphy,Sarah Murphy,Sarah Murphy,Sarah Murphy,,,Sarah Murphy,Sarah Murphy,,,,,,,,,,,,,Category:Sarah Murphy (politician),Sarah Murphy,Sarah Murphy (politician),,female,Sarah,politician,Murphy,8594,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Sarah_Murphy_elected_Bridgend_MS.jpg,73474,sarah4bridgend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,সারাহ মার্ফি,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106760138,Peter Fox,Peter Fox,Peter Fox,Peter Fox,,Peter Fox,Peter Fox,Peter Fox,,,,,,,,,,,,,Category:Peter Fox (politician),Peter Fox,Peter Fox (Welsh politician),1961-12-24,male,Peter,politician,Fox,4787,,https://upload.wikimedia.org/wikipedia/commons/5/52/Cllr_Peter_Fox.jpg,54073,PeterFox61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,পিটার ফক্স,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106761230,Buffy Williams,Elizabeth (Buffy) Williams,Buffy Williams,Elizabeth Buffy Williams,,,Elizabeth Buffy Williams,,,,,,,,,,,,,,,Buffy Williams,Buffy Williams,1976-11-01,female,Elizabeth,politician,Williams,8695,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Buffy-williams.jpg,33397,buffywills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,এলিজাবেথ উইলিয়ামস,,,,,,,,,,,,,BuffyForRhondda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106762245,James Evans,James Evans,James Evans,James Evans,,,James Evans,James Evans,,,,,,,,,,,,,,James Evans,James Evans (Welsh politician),,male,James,politician,Evans,8585,,https://upload.wikimedia.org/wikipedia/commons/2/26/James-evans.jpg,26883,JamesEvansMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,জেমস ইভান্স,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106766509,Carolyn Thomas,Carolyn Thomas,Carolyn Thomas,Carolyn Thomas,Carolyn Thomas,Carolyn Thomas,,,,Carolyn Thomas,,,,,,Carolyn Thomas,,,,Carolyn Thomas,,Carolyn Thomas,Carolyn Thomas,1965,female,Carolyn,politician,Thomas,5143,,,16937,CThomasMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CarolynThomasMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106766510,Cefin Campbell,Cefin Campbell,Cefin Campbell,Cefin Campbell,Cefin Campbell,Cefin Campbell,,,,Cefin Campbell,,,,,,Cefin Campbell,,,,Cefin Campbell,,Cefin Campbell,Cefin Campbell,1950,male,Cefin,politician,Campbell,8643,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Cefin_Campbell_yng_Nghaerfyrddin_(cropped).jpg,27862,cefincampbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cefincampbellplaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106766817,Sioned Williams,Sioned Williams,Sioned Williams,Sioned Williams,Sioned Williams,Sioned Williams,,,,Sioned Williams,,,,,,Sioned Williams,,,,Sioned Williams,,Sioned Williams,Sioned Williams,,female,Sioned,politician,Williams,8670,,,23688,Sioned_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SionedWilliamsPlaidCymru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106767394,Rhys ab Owen,Rhys ab Owen,Rhys ab Owen,Rhys ab Owen,Rhys ab Owen,Rhys ab Owen,,,,Rhys ab Owen,,,,,,Rhys ab Owen,,,,Rhys ab Owen,,Rhys ab Owen,Rhys ab Owen,,male,Rhys,barrister,ab Owen,8625,,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rhys_ab_Owen_AS_-_Senedd_Cymru.jpg,27196,RhysOwenThomas,,,,Rhys ab Owen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
