id,uuid
Vikki.Howells@senedd.wales,04bc51aa-6851-4636-8706-d3b7090c4643
Hannah.Blythyn@senedd.wales,08254a5f-fd4a-4aa9-b404-5df06c854c71
Llyr.Gruffydd@senedd.wales,0c9cf09f-a09c-47f9-a641-6d0dbb23110c
Mike.Hedges@senedd.wales,156c204a-9f5d-45dc-9d93-98eba05c5add
David.Rees@senedd.wales,15761ce7-71b3-4691-a080-d2727bd2966e
Janet.Finch-Saunders@senedd.wales,1a0973b2-e9e8-4b6c-91a7-82099578d606
Julie.Morgan@senedd.wales,1d2c8e4c-6dd2-4991-99a9-6030ef37a879
Tom.Giffard@Senedd.Wales,22390164-fed9-4e40-9ef1-c08acff921cb
Elin.Jones@senedd.wales,22f2adad-3eca-4e5d-a946-7bea3174ef29
Cefin.Campbell@Senedd.Wales,255e79a0-fc74-488c-b21c-80bb72736ba8
Sarah.Murphy@Senedd.Wales,263f4627-70d7-42bd-bf5e-d7f3215030fb
Samuel.Kurtz@senedd.wales,304f1922-32ed-46ae-85c9-5e0d6e40dc13
Lesley.Griffiths@senedd.wales,3396369e-5e6b-4c2b-99ee-0c7f3cce0018
Lee.Waters@senedd.wales,34594394-8bb7-47b9-9679-f4c984e76ec9
Vaughan.Gething@senedd.wales,371d720b-33dc-4efe-ba22-6cb4999f1ffc
Mark.Isherwood@senedd.wales,3a441cf2-fe19-442f-8b15-e544b8b8dc09
Darren.Millar@senedd.wales,42e772e8-3d01-4dea-b0bc-5fc5ba641079
Jeremy.Miles@senedd.wales,4656e912-817a-4814-91fa-d63cc963303a
Joyce.Watson@senedd.wales,4874f776-d3de-47e6-a7c6-310d6094ce1a
AndrewRT.Davies@senedd.wales,4e31d446-8dd5-405a-a37f-bab74e27b406
Sam.Rowlands@senedd.wales,541a25f6-517f-464c-81b7-cc53742f4662
Ken.Skates@senedd.wales,54bf56c5-f61f-4827-9fe3-5d49650bbf59
Rhys.abOwen@senedd.wales,5966b5c2-0458-4b98-ba2b-4da38492debf
Paul.Davies@senedd.wales,627b2521-6923-48b8-b2d4-48a673d1b824
Julie.James@senedd.wales,62bb8346-df8f-44b4-bac3-b0fc3ebe4b9c
John.Griffiths@senedd.wales,6479d91e-a46e-48c8-8345-09864655f76f
Alun.Davies@senedd.wales,6b1fa908-a30b-4e5a-ae0a-4934ac55df54
Russell.George@senedd.wales,6f685ab7-551f-4512-a0d0-284cd6fac2ea
Eluned.Morgan@senedd.wales,704a4db1-134c-4aa1-aab4-6b54338b5d66
Lynne.Neagle@senedd.wales,761c8a03-f1cc-42a7-ba72-e6f34a82888a
Luke.Fletcher@senedd.wales,78ba6dde-bb34-44a6-b63b-643605d0a960
Carolyn.Thomas@Senedd.Wales,7a94dc97-e827-43d4-9328-d73bb69212bc
Mark.Drakeford@senedd.wales,7c8ff158-c8b9-4d53-8b7b-0b368a709949
Peredur.OwenGriffiths@senedd.wales,7e257362-e600-4d24-a177-495fa61c7aec
Altaf.Hussain@senedd.wales,82c4f35c-ba2d-4f51-ba25-dce76a94b9a7
Natasha.Asghar@senedd.wales,8955cf76-ec15-48d2-a31d-8a0932d1569a
Heledd.Fychan@senedd.wales,8a48ab6c-131d-4147-99fb-c2126cff6dcc
Delyth.Jewell@senedd.wales,99995d63-b32c-48e6-9863-cdc42879e399
Rhianon.Passmore@senedd.wales,9ae99e20-a86b-491b-9221-605b75823ea3
Gareth.L.Davies@senedd.wales,9f0754e3-c424-4460-a9a4-83c0f7b9e0d6
rhun.apiorwerth@senedd.wales,9f3b8097-9c07-4039-a798-92e370f7398e
Hefin.David@senedd.wales,a042c8cb-a212-4615-ba9f-eccb9eedc4d4
Sian.Gwenllian@senedd.wales,aa8593bb-b92c-44ab-9c01-3cf894c00624
Mabon.ap.Gwynfor@senedd.wales,b9733257-c8d8-4be5-95bd-7690283acc54
Mick.Antoniw@senedd.wales,bb5b9df3-9e91-4a73-87be-22788ebe01cb
Jane.Hutt@senedd.wales,c51e3561-cacc-4d04-ac0b-49b4037e4969
Laura.Jones@senedd.wales,c8b1b17a-0683-4b54-8548-6c99e529f4c5
James.Evans@senedd.wales,ce5be98c-f90c-46c8-acd6-b315d1673585
Jack.Sargeant@senedd.wales,d102ca51-5d5a-47dd-b12f-9c2a3005076e
Dawn.Bowden@senedd.wales,d3aa08cd-c7c8-4b36-87c9-07765620ac93
Peter.Fox@senedd.wales,d3f2e06d-7a19-43ef-8d67-75cbac8874eb
Jayne.Bryant@senedd.wales,d6560d36-c525-4e52-a85b-1035b7eab92b
Buffy.Williams@senedd.wales,d881ddba-9098-4235-a423-31cb3281d566
Rebecca.Evans@senedd.wales,d8d0d9d8-622e-43b7-b6bd-ab3fa2b69240
huw.Irranca-Davies@senedd.wales,e10df87f-fe38-4e82-aaed-2bda6fa0da65
Jane.Dodds@senedd.wales,e36c1a77-3a28-429b-baf0-01d81f6787f8
Adam.Price@senedd.wales,e5da3a6e-7fe7-4325-b936-325a44babca8
Sioned.Williams@Senedd.Wales,f9f92bae-8e67-4805-a284-5aac261614f0
Joel.James@senedd.wales,fbfce4de-0567-4d78-9d58-6e5831d9e271
Jenny.Rathbone@senedd.wales,fd29b7cf-ca3b-4960-80f1-91c7ad2809df
