id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,term,start_date,image,gender,wikidata,wikidata_group,wikidata_area
e5da3a6e-7fe7-4325-b936-325a44babca8,Adam Price,Adam Price,Adam.Price@senedd.wales,Adamprice,AdamPricePlaid,Plaid Cymru,e07e997c-9ee8-48f8-b278-c7a372026296,46e001d9-4c2c-4675-b8b8-fac2fe9169b0,Carmarthen East and Dinefwr,6,2021-05-08,https://business.senedd.wales/UserData/0/3/0/Info00005030/bigpic.jpg,male,Q3405033,Q10691,Q5043201
82c4f35c-ba2d-4f51-ba25-dce76a94b9a7,Altaf Hussain,Altaf Hussain,Altaf.Hussain@senedd.wales,AltafHussainSWW,,Welsh Conservative Party,89e51135-5b4f-480a-a931-654928c345bb,cc1cb63a-bc50-48b9-ab85-6510e15d4df3,South Wales West,6,2021-05-08,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,male,Q20065239,Q7981882,Q7568795
6b1fa908-a30b-4e5a-ae0a-4934ac55df54,Alun Davies,Alun Davies,Alun.Davies@senedd.wales,AlunDaviesAM,AMAlunDavies,Welsh Labour,b3b881f7-f595-4fa7-9107-2382b33f0e70,ed841f08-80d6-4b17-a494-34941b81537e,Blaenau Gwent,6,2021-05-08,https://business.senedd.wales/UserData/5/2/2/Info00000225/bigpic.jpg,male,Q4737493,Q832685,Q4923797
4e31d446-8dd5-405a-a37f-bab74e27b406,Andrew RT Davies,Andrew RT Davies,AndrewRT.Davies@assembly.wales,AndrewRTDavies,AndrewRTDavies,Welsh Conservative Party,89e51135-5b4f-480a-a931-654928c345bb,976db739-babc-46ea-b08d-fccc212f722d,South Wales Central,6,2021-05-08,https://upload.wikimedia.org/wikipedia/commons/9/95/Andrew_RT_Davies_2016.jpg,male,Q4758350,Q7981882,Q7568764
d881ddba-9098-4235-a423-31cb3281d566,Buffy Williams,Buffy Williams,Buffy.Williams@senedd.wales,buffywills,BuffyForRhondda,Welsh Labour,b3b881f7-f595-4fa7-9107-2382b33f0e70,885aa33f-21c1-4b71-b7e1-48b07d297265,Rhondda,6,2021-05-08,https://business.senedd.wales/UserData/5/9/6/Info00008695/bigpic.jpg,female,Q106761230,Q832685,Q7321386
7a94dc97-e827-43d4-9328-d73bb69212bc,Carolyn Thomas,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,CThomasMS,CarolynThomasMS,Welsh Labour,b3b881f7-f595-4fa7-9107-2382b33f0e70,167f4c5b-a21b-4a2f-964f-c75dab4590bf,North Wales,6,2021-05-08,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,female,Q106766509,Q832685,Q7057143
255e79a0-fc74-488c-b21c-80bb72736ba8,Cefin Campbell,Cefin Campbell,Cefin.Campbell@Senedd.Wales,cefincampbell,cefincampbellplaid,Plaid Cymru,e07e997c-9ee8-48f8-b278-c7a372026296,dbb23b11-d692-4851-ad96-87fc78d6a4c2,Mid and West Wales,6,2021-05-08,https://business.senedd.wales/UserData/3/4/6/Info00008643/bigpic.jpg,male,Q106766510,Q10691,Q6841063
42e772e8-3d01-4dea-b0bc-5fc5ba641079,Darren Millar,Darren Millar,Darren.Millar@senedd.wales,DarrenMillarAM,DarrenMillarAM,Welsh Conservative Party,89e51135-5b4f-480a-a931-654928c345bb,9d152dd1-055e-4cec-bf56-b0fd6dd76193,Clwyd West,6,2021-05-08,https://business.senedd.wales/UserData/1/7/1/Info00000171/bigpic.jpg,male,Q5225067,Q7981882,Q13128697
15761ce7-71b3-4691-a080-d2727bd2966e,David Rees,David Rees,David.Rees@senedd.wales,DavidReesAM,DavidReesAMAberavon,Welsh Labour,b3b881f7-f595-4fa7-9107-2382b33f0e70,5ec963f4-4e5f-479e-a1c7-2ba955a5dc1f,Aberavon,6,2021-05-08,https://business.senedd.wales/UserData/5/0/2/Info00000205/bigpic.jpg,male,Q16191114,Q832685,Q4666775
d3aa08cd-c7c8-4b36-87c9-07765620ac93,Dawn Bowden,Dawn Bowden,Dawn.Bowden@senedd.wales,Dawn_Bowden,DawnBowdenAM,Welsh Labour,b3b881f7-f595-4fa7-9107-2382b33f0e70,fc63451e-ccf0-4001-b7ca-2f22c1af21c3,Merthyr Tydfil and Rhymney,6,2021-05-08,https://business.senedd.wales/UserData/8/8/9/Info00004988/bigpic.jpg,female,Q24050164,Q832685,Q6820690
